_id,School_Id,Org_Name,Telephone,Fax,Email,Contact1_Name,URL,Add1_Line1,Add1_Suburb,Add1_City,Add2_Line1,Add2_Suburb,Add2_City,Add2_Postal_Code,Urban_Rural_Indicator,Org_Type,Definition,Authority,School_Donations,CoEd_Status,KMEPeakBody,Takiwā,Territorial_Authority,Regional_Council,Local_Office_Name,Education_Region,General_Electorate,Māori_Electorate,Statistical_Area_2_Code,Statistical_Area_2_Description,Ward,Col_Id,Col_Name,Latitude,Longitude,Enrolment_Scheme,EQi_Index,Roll_Date,Total,European,Māori,Pacific,Asian,MELAA,Other,International,Isolation_Index,Language_of_Instruction,BoardingFacilities,CohortEntry,Status,DateSchoolOpened
11,1717,Fairhaven School,07-5738243,07-5738247,admin@fairhaven.school.nz,Paul Hunt,http://www.fairhaven.school.nz/,120 Boucher Avenue ,"",Te Puke,120 Boucher Avenue,"",Te Puke,3119,Small urban area,Contributing,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Western Bay of Plenty District,Bay of Plenty Region,Rotorua Office,"Bay of Plenty, Waiariki",Rotorua,Waiariki,192102,Te Puke South,Maketu-Te Puke Ward,99086,Te Puke Community of Learning,-37.796352,176.321030,Yes,453,2025-04-01T00:00:00,482,228,184,23,153,8,5,0,0.45,Some students taught in te reo Māori,No,Yes,Open,1957-02-01T00:00:00
12,1719,Firth School,07-8887396,07-8887391,office@firth.school.nz,Michelle Ryan,http://www.firth.school.nz,45 Station Road ,"",Matamata,45 Station Road,"",Matamata,3400,Small urban area,Contributing,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Matamata-Piako District,Waikato Region,Hamilton Office,Waikato,Waikato,Hauraki-Waikato,175001,Matamata West,Matamata General Ward,99104,Matamata Community of Learning,-37.817692,175.764422,No,509,2025-04-01T00:00:00,214,152,76,23,21,0,3,0,0.69,All students taught in English,No,No,Open,1963-01-26T00:00:00
13,1726,Goldfields School (Paeroa),07-8627172,"",accounts@gfs.school.nz,Cameron McKenzie,http://www.gfs.school.nz,55 Norwood Road ,"",Paeroa,55 Norwood Road,"",Paeroa,3600,Small urban area,Specialist School,Day Specialist,State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Hauraki District,Waikato Region,Hamilton Office,Waikato,Coromandel,Hauraki-Waikato,169200,Paeroa,Paeroa Ward,99070,Ohinemuri Community of Learning,-37.370573,175.674414,No,517,2025-04-01T00:00:00,88,57,37,8,7,0,1,0,1.13,All students taught in English,No,No,Open,1965-02-03T00:00:00
14,1729,Greenpark School (Tauranga),07-5410606,07-5410607,office@greenparkschool.co.nz,Gareth Scholes,http://www.greenparkschool.co.nz,13 Lumsden Street ,Greerton,Tauranga,13 Lumsden Street,Greerton,Tauranga,3112,Major urban area,Contributing,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Tauranga City,Bay of Plenty Region,Rotorua Office,"Bay of Plenty, Waiariki",Tauranga,Waiariki,195200,Greerton North,Tauriko General Ward,99085,Tauranga Peninsula Kāhui Ako,-37.732545,176.127532,Yes,440,2025-04-01T00:00:00,646,408,130,35,183,19,2,17,0.16,All students taught in English,No,Yes,Open,1957-02-04T00:00:00
15,1731,Hamilton East School,07-8393377,07-8383997,office@hameast.school.nz,Pippa Wright,http://www.hameast.school.nz,Dawson Street ,Hamilton East,Hamilton,Dawson Street,Hamilton East,Hamilton,3216,Major urban area,Contributing,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Hamilton City,Waikato Region,Hamilton Office,Waikato,Hamilton East,Hauraki-Waikato,179700,Hamilton East Village,East General Ward,99057,Hillcrest Kāhui Ako,-37.787420,175.290498,Yes,458,2025-04-01T00:00:00,523,230,164,43,124,63,8,0,0.05,All students taught in English,No,No,Open,1872-01-26T00:00:00
16,1746,Horotiu School,07-8299892,07-8299192,office@horotiu.school.nz,Jo Wright,http://www.horotiu.school.nz,Bridge Road ,Horotiu,Hamilton,Horotiu Bridge Road RD 8,"",Hamilton,3288,Rural settlement,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Waikato District,Waikato Region,Hamilton Office,Waikato,Taranaki-King Country,Hauraki-Waikato,172601,Horotiu,Newcastle-Ngāruawāhia General Ward,99035,He Waka Eke Noa (NW Hamilton) Community of Learning,-37.700810,175.204649,Yes,462,2025-04-01T00:00:00,200,131,91,22,13,3,1,0,0.35,All students taught in English,No,No,Open,1879-01-26T00:00:00
17,1750,St Patrick's Catholic School (Taupo),07-3780205,07-3780293,office@stpatstaupo.school.nz,Vicki Saunders (Acting),http://www.stpatstaupo.school.nz,86 Acacia Bay Road ,"",Taupo,86 Acacia Bay Road,Nukuhau,Taupo,3330,Medium urban area,Full Primary,"",State : Integrated,Donations may be requested,Co-Educational,"",Te Tai Whenua,Taupo District,Waikato Region,Rotorua Office,"Bay of Plenty, Waiariki",Taupō,Waiariki,188400,Brentwood (Taupo District),Taupō General Ward,99020,Taupō Community of Schools,-38.677660,176.061929,No,418,2025-04-01T00:00:00,246,165,35,13,67,6,3,0,0.60,All students taught in English,No,No,Open,1997-01-28T00:00:00
18,1752,Huntly West School,07-8288371,07-8288545,tinat@huntlywest.school.nz,Margaret Aiono,http://www.huntlywest.school.nz,Paki Street ,"",Huntly,PO Box 186,"",Huntly,3740,Small urban area,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Waikato District,Waikato Region,Hamilton Office,Waikato,Waikato,Hauraki-Waikato,171400,Huntly West,Huntly General Ward,"","",-37.558865,175.150134,No,560,2025-04-01T00:00:00,118,11,103,12,2,2,0,0,0.51,All students taught in English,No,No,Open,1858-11-17T00:00:00
19,1753,Insoll Avenue School,07-8555067,07-8555054,office@insollave.school.nz,Suzanne Wright,http://www.insollave.school.nz,95 Insoll Avenue ,Fairfield,Hamilton,95 Insoll Avenue,Enderley,Hamilton,3214,Major urban area,Contributing,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Hamilton City,Waikato Region,Hamilton Office,Waikato,Hamilton East,Hauraki-Waikato,178400,Enderley North,East General Ward,99132,Te Pae Here Kāhui Ako Te Raki Rāwhiti o Kirikiriroa,-37.761853,175.296347,Yes,540,2025-04-01T00:00:00,307,62,199,77,46,12,2,0,0.13,All students taught in English,No,No,Open,1962-02-05T00:00:00
20,1756,Kaharoa School,07-3323444,07-3323401,office@kaharoa.school.nz,Lynden Cook,http://www.kaharoa.school.nz,296 Kaharoa Road ,"",Rotorua,296 Kaharoa Road RD 6,"",Rotorua,3096,Rural other,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Rotorua District,Bay of Plenty Region,Rotorua Office,"Bay of Plenty, Waiariki",Rotorua,Waiariki,197700,Tui Ridge,Rotorua Rural General Ward,99107,Te Maru o Ngongotaha (Rotorua) Community of Learning,-37.995973,176.234324,No,440,2025-04-01T00:00:00,175,145,41,6,3,2,0,0,0.58,All students taught in English,No,No,Open,1907-01-26T00:00:00
21,1772,Rotorua Specialist School - Te Kura Pūkenga o Rotorua,07-3476717,07-3476714,office@rss.ac.nz,Lorraine Northey,http://www.keastreet.ac.nz,36 Kea Street ,Selwyn Heights,Rotorua,36 Kea Street,Selwyn Heights,Rotorua,3015,Large urban area,Specialist School,Day Specialist,State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Rotorua District,Bay of Plenty Region,Rotorua Office,"Bay of Plenty, Waiariki",Rotorua,Waiariki,198500,Selwyn Heights,Te Ipu Wai Auraki General Ward,99107,Te Maru o Ngongotaha (Rotorua) Community of Learning,-38.116624,176.223575,No,520,2025-04-01T00:00:00,94,41,55,12,12,1,0,0,0.33,All students taught in English,No,No,Open,1963-02-01T00:00:00
22,1782,Kopuarahi School,07-8675048,"",office@kopuarahi.school.nz,Christine Patel,http://www.kopuarahi.school.nz,Bush Road ,"",Thames,Bush Road RD 4,"",Thames,3574,Rural other,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Hauraki District,Waikato Region,Hamilton Office,Waikato,Coromandel,Hauraki-Waikato,168800,Hauraki Plains East,Plains Ward,99015,Hauraki Community of Learning,-37.220224,175.506480,No,534,2025-04-01T00:00:00,11,6,5,0,2,0,0,0,0.99,All students taught in English,No,No,Open,1917-01-26T00:00:00
23,1784,Koromatua School,07-8479828,07-8479803,enquiries@koromatua.school.nz,Rosina Nin,http://www.koromatua.school.nz,355 Koromatua Road ,"",Hamilton,355 Koromatua Road RD 10,"",Hamilton,3290,Rural other,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Waipa District,Waikato Region,Hamilton Office,Waikato,Taranaki-King Country,Hauraki-Waikato,181500,Ngāhinapōuri,Pirongia-Kakepuku General Ward,99105,Te Kaahui Ako o Mangakootukutuku,-37.831616,175.207492,Yes,468,2025-04-01T00:00:00,216,79,193,38,6,1,2,0,0.25,Some students taught in te reo Māori,No,Yes,Open,1905-02-06T00:00:00
24,60,Saint Kentigern Girls' School,09-5201400,09-5247657,skg_admin@saintkentigern.com,Marianne Duston,http://www.saintkentigern.com,82 Shore Road ,Remuera,Auckland,PO Box 28790,Remuera,Auckland,1541,Major urban area,Full Primary,"",Private : Fully Registered,Not applicable,Girls School,"",Te Tai Raro,Ōrākei Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Epsom,Tāmaki Makaurau,140500,Remuera North,Ōrākei Ward,"","",-36.865324,174.803912,No,not applicable,2025-04-01T00:00:00,383,190,11,7,187,5,3,0,not applicable,All students taught in English,No,No,Open,1947-01-26T00:00:00
25,601,Kumeroa School,06-3764542,06-3764542,office@kumeroa.school.nz,Lucy Stone,http://www.kumeroa.school.nz ,58 Township Road ,"",Kumeroa,58 Township Road RD 1,"",Woodville,4997,Rural other,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Runga,Tararua District,Manawatū-Whanganui Region,Lower Hutt Office,Wellington,Wairarapa,Ikaroa-Rāwhiti,233500,Kaitawa,South Tararua General Ward,99071,Tararua Kāhui Ako,-40.337633,175.989711,No,460,2025-04-01T00:00:00,32,29,5,1,3,2,0,0,0.89,All students taught in English,No,No,Open,2008-01-26T00:00:00
26,1466,Riverina School,09-5277377,09-5271536,admin@riverina.school.nz,Bryce Mills,http://www.riverina.school.nz,30 Millen Avenue ,Pakuranga,Auckland,30 Millen Avenue,Pakuranga,Auckland,2010,Major urban area,Contributing,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Raro,Howick Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Pakuranga,Tāmaki Makaurau,148102,Pakuranga North,Howick Ward,99098,Pakuranga West Kāhui Ako,-36.913968,174.861813,Yes,467,2025-04-01T00:00:00,117,37,33,52,29,11,3,0,0.29,All students taught in English,No,No,Open,1961-02-01T00:00:00
27,1501,St Mark's School (Pakuranga),09-5765296,09-5762701,admin@stmarks.school.nz,Tracey Kopua,http://www.stmarks.school.nz/,334 Pakuranga Road ,Pakuranga,Auckland,PO Box 82106,Highland Park,Manukau,2143,Major urban area,Contributing,"",State : Integrated,Donations may be requested,Co-Educational,"",Te Tai Raro,Howick Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Pakuranga,Tāmaki Makaurau,149200,Sunnyhills East,Howick Ward,99189,South East Christian Kāhui Ako,-36.901451,174.897150,No,378,2025-04-01T00:00:00,203,59,13,37,135,14,1,0,0.33,All students taught in English,No,No,Open,1979-02-15T00:00:00
28,1529,Taupaki School,09-8109855,09-8109851,office@taupaki.school.nz,Christina Robertson,http://www.taupaki.school.nz,Cottle Road ,Henderson,Auckland,14 Cottle Road RD 2,"",Henderson,0782,Rural other,Full Primary,"",State,Donations may be requested,Co-Educational,"",Te Tai Raro,Rodney Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,116401,Taupaki,Rodney Ward,99129,Whiria Te Tangata Community of Learning,-36.820261,174.544543,Yes,427,2025-04-01T00:00:00,226,202,35,7,22,3,2,0,0.50,All students taught in English,No,Yes,Open,1899-01-26T00:00:00
29,1540,Valley School,09-2388774,09-2385490,office@valley.school.nz,Roger Goulstone,http://www.valley.school.nz,East Street ,"",Pukekohe,PO Box 478,"",Pukekohe,2340,Medium urban area,Contributing,"",State,Donations may be requested,Co-Educational,"",Te Tai Raro,Franklin Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Waka,Port Waikato,Hauraki-Waikato,165800,Rooseville Park,Franklin Ward,99075,Pukekohe Community of Learning,-37.196975,174.913290,Yes,425,2025-04-01T00:00:00,443,274,74,52,110,26,1,0,0.16,All students taught in English,No,No,Open,1966-01-26T00:00:00
30,1544,Victoria Avenue School,09-5200602,09-5201943,jane@va.school.nz,Jane Bush,http://www.victoria-avenue.school.nz,282 Victoria Avenue ,Remuera,Auckland,282 Victoria Avenue,Remuera,Auckland,1050,Major urban area,Contributing,"",State,Donations may be requested,Co-Educational,"",Te Tai Raro,Ōrākei Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Manawa,Epsom,Tāmaki Makaurau,140000,Remuera Waitaramoa,Ōrākei Ward,99001,Auckland Central Community of Schools,-36.865500,174.799034,Yes,344,2025-04-01T00:00:00,395,125,8,7,269,11,1,5,0.16,All students taught in English,No,Yes,Open,1952-02-01T00:00:00
31,1559,Waiuku Primary School,09-2358453,09-2358463,admin@waiuku.school.nz,Isla Holt,http://web.waiuku.school.nz/,George Street ,"",Waiuku,George Street,"",Waiuku,2123,Small urban area,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Raro,Franklin Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Waka,Port Waikato,Hauraki-Waikato,164800,Waiuku East,Franklin Ward,99033,Waiuku Community of Learning,-37.257574,174.732890,Yes,455,2025-04-01T00:00:00,356,274,85,40,33,13,7,0,0.42,All students taught in English,No,No,Open,1873-01-26T00:00:00
32,1570,Weymouth School,09-2690588,09-2690599,office@weymouthprimary.school.nz,Saane Faaofo-Oldehaver,http://www.weymouthprimary.school.nz,23 Evans Road ,Weymouth,Auckland,23 Evans Road,Weymouth,Auckland,2103,Major urban area,Contributing,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Raro,Manurewa Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Waka,Manurewa,Tāmaki Makaurau,160700,Weymouth South,Manurewa-Papakura Ward,99211,Te Korowai Kakahu o Manurewa Kāhui Ako,-37.046592,174.865615,Yes,501,2025-04-01T00:00:00,508,101,193,333,83,24,7,0,0.27,All students taught in English,No,No,Open,1961-02-01T00:00:00
33,1580,Yendarra School,09-2747431,09-2746588,"",Jazmin Greig,http://www.yendarra.school.nz/,226 Bairds Road ,Otara,Auckland,PO Box 61078,"",Auckland,2159,Major urban area,Contributing,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Raro,Ōtara-Papatoetoe Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Waka,Panmure-Ōtāhuhu,Tāmaki Makaurau,155801,Ferguson,Manukau Ward,"","",-36.966108,174.877703,No,512,2025-04-01T00:00:00,223,5,59,177,10,0,0,0,0.10,All students taught in English,No,No,Open,1968-01-26T00:00:00
34,1581,Chapel Downs School,09-2748002,09-2740245,office@chapeldowns.school.nz,Vaughan Van Rensburg,http://www.chapeldowns.school.nz,170 Dawson Road ,Flat Bush,Auckland,PO Box 217069,Botany Junction,Auckland,2164,Major urban area,Contributing,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Raro,Howick Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Waka,Botany,Tāmaki Makaurau,157500,Chapel Downs,Howick Ward,"","",-36.979496,174.900669,Yes,484,2025-04-01T00:00:00,728,54,124,395,269,37,3,0,0.13,All students taught in English,No,No,Open,1985-01-30T00:00:00
35,1589,TKKM o Toku Mapihi Maurea,07-8568266,07-8583426,tari@tmmkkm.school.nz,Laura Hawksworth,"",137 Silverdale Road ,Hillcrest,Hamilton,PO Box 23017,Dalesford,Hamilton,3254,Major urban area,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Hamilton City,Waikato Region,Hamilton Office,Waikato,Hamilton East,Hauraki-Waikato,179202,Ruakura,East General Ward,99084,Te Kaahui Ako o Tainui,-37.788589,175.324236,No,459,2025-04-01T00:00:00,83,5,81,8,0,0,0,0,0.14,All students taught in te reo Māori,No,Yes,Open,1993-01-26T00:00:00
36,1625,Ascot Community School,03-2175196,03-2175850,admin@ascot.school.nz,Wendy Ryan,http://www.ascot.school.nz,580 Tay Street ,Hawthorndale,Invercargill,580 Tay Street,Hawthorndale,Invercargill,9810,Large urban area,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Runga,Invercargill City,Southland Region,Invercargill Office,"Otago, Southland",Invercargill,Te Tai Tonga,361701,Glengarry,Area Outside Ward,"","",-46.407172,168.384837,Yes,516,2025-04-01T00:00:00,246,136,66,35,24,25,1,0,0.81,All students taught in English,No,No,Open,1999-01-27T00:00:00
37,1647,Konini Primary School (Wainuiomata),04-9397725,04-9397742,admin@konini-primary.school.nz,Andrea Scanlan,http://www.konini-primary.school.nz,28 Konini Street ,Wainuiomata,Lower Hutt,28 Konini Street,Wainuiomata,Lower Hutt,5014,Major urban area,Contributing,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Runga,Lower Hutt City,Wellington Region,Lower Hutt Office,Wellington,Hutt South,Ikaroa-Rāwhiti,246900,Wainuiomata West,Wainuiomata Ward,99090,Wainuiomata Community of Learning,-41.254826,174.936129,Yes,486,2025-04-01T00:00:00,271,124,93,56,63,3,4,0,0.20,All students taught in English,No,No,Open,2002-01-01T00:00:00
38,1672,TKKM o Nga Uri A Maui,06-8685629,06-8670960,office@ngauriamaui.school.nz,Jodi Ria-Smith,"",349 Nelson Road ,"",Gisborne,349 Nelson Road,Riverdale,Gisborne,4010,Large urban area,Composite,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,Te Rūnanga nui o ngā Kura Kaupapa Māori o Aotearoa,Te Tai Whenua,Gisborne District,Gisborne Region,Napier Office,"Hawke's Bay, Tairāwhiti",East Coast,Ikaroa-Rāwhiti,205700,Riverdale,Tairāwhiti General Ward,99082,Taha Tinana (Gisborne) Kāhui Ako,-38.643503,177.997977,No,515,2025-04-01T00:00:00,208,2,207,1,2,0,0,0,0.88,All students taught in te reo Māori,No,No,Open,1993-09-13T00:00:00
39,1679,Rahotu School,06-7638658,06-7638472,admin@rahotu.school.nz,Matthew Moorby,http://www.rahotu.school.nz,5825 South Road ,"",Rahotu,5825 South Road,Rahotu,Taranaki,4684,Rural other,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,South Taranaki District,Taranaki Region,Whanganui Office,"Taranaki, Whanganui, Manawatū",New Plymouth,Te Tai Hauāuru,220501,Parihaka,Taranaki Coastal General Ward,"","",-39.325024,173.802899,No,498,2025-04-01T00:00:00,136,113,62,4,4,0,0,0,1.60,All students taught in English,No,No,Open,2005-01-28T00:00:00
40,1702,Cambridge School,07-8275316,07-8230471,admin@cambridgeprimary.co.nz,Michael Pettit,http://www.cambridgeprimary.co.nz,Wilson Street ,"",Cambridge,17 Wilson Street,"",Cambridge,3434,Medium urban area,Contributing,"",State,Donations may be requested,Co-Educational,"",Te Tai Whenua,Waipa District,Waikato Region,Hamilton Office,Waikato,Taupō,Hauraki-Waikato,183200,Cambridge Central,Cambridge General Ward,99034,Te Kāhui Ako o Te Oko Horoi,-37.895329,175.467817,Yes,402,2025-04-01T00:00:00,371,309,23,6,55,11,0,0,0.33,Some students taught in te reo Māori,No,Yes,Open,1866-07-01T00:00:00
41,1706,Colville School,07-8666815,07-8666818,secretary@colville.school.nz,Susie Sumner,http://www.colville.school.nz/,2391 Colville Road ,"",Colville,2391 Colville Road RD 4,"",Coromandel,3584,Rural other,Full Primary,"",State,"Donations should not be requested, unless for a school camp",Co-Educational,"",Te Tai Whenua,Thames-Coromandel District,Waikato Region,Hamilton Office,Waikato,Coromandel,Hauraki-Waikato,166500,Colville,Coromandel-Colville Ward,99155,Coromandel Community of Learning,-36.628202,175.472294,No,478,2025-04-01T00:00:00,35,31,7,3,1,0,1,0,2.69,All students taught in English,No,No,Open,1891-01-26T00:00:00
